Name,Email,Phone
Aarav Sharma,aarav.sharma@example.com,
Vihaan Verma,vihaan.verma@example.com,
Isha Kapoor,isha.kapoor@example.com,
Aditya Nair,aditya.nair@example.com,
Anika Patel,anika.patel@example.com,
Priya Bansal,priya.bansal@example.com,
Kiran Rao,kiran.rao@example.com,
Siddharth Khanna,siddharth.khanna@example.com,
Tara Gupta,tara.gupta@example.com,
Rahul Reddy,rahul.reddy@example.com,
Simran Joshi,simran.joshi@example.com,
Kunal Thakur,kunal.thakur@example.com,
Meera Bajaj,meera.bajaj@example.com,
Rajiv Kaul,rajiv.kaul@example.com,
Neha Bose,neha.bose@example.com,
